arrival_time,route_short_name,route_long_name,headsign,service_days
16:31:15,147,Outer DuSable Lake Shore Express,,Sat
12:00:10,147,Outer DuSable Lake Shore Express,,Sun
09:09:35,147,Outer DuSable Lake Shore Express,,Sat
15:04:32,147,Outer DuSable Lake Shore Express,,Sat
14:54:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:45:10,147,Outer DuSable Lake Shore Express,,Sat
23:18:05,147,Outer DuSable Lake Shore Express,,Sun
06:30:13,147,Outer DuSable Lake Shore Express,,Sun
05:31:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:26:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:14:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:22:45,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:39:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:41:27,147,Outer DuSable Lake Shore Express,,Sat
05:19:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
05:26:38,147,Outer DuSable Lake Shore Express,,Sat
12:45:27,147,Outer DuSable Lake Shore Express,,Sat
15:04:32,147,Outer DuSable Lake Shore Express,,Sat
11:05:57,147,Outer DuSable Lake Shore Express,,Sat
22:17:05,147,Outer DuSable Lake Shore Express,,Sun
14:42:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:40:10,147,Outer DuSable Lake Shore Express,,Sun
21:59:53,147,Outer DuSable Lake Shore Express,,Sun
15:52:02,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:01:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:35:23,147,Outer DuSable Lake Shore Express,,Sun
21:11:23,147,Outer DuSable Lake Shore Express,,Sat
16:47:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:08:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:28:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:12:27,147,Outer DuSable Lake Shore Express,,Sun
10:33:57,147,Outer DuSable Lake Shore Express,,Sat
09:32:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:37:05,147,Outer DuSable Lake Shore Express,,Sun
06:46:13,147,Outer DuSable Lake Shore Express,,Sun
14:38:40,147,Outer DuSable Lake Shore Express,,Sun
16:05:45,147,Outer DuSable Lake Shore Express,,Sat
16:12:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:53:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:06:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:12:13,147,Outer DuSable Lake Shore Express,,Sun
10:02:23,147,Outer DuSable Lake Shore Express,,Sun
18:02:27,147,Outer DuSable Lake Shore Express,,Sun
19:36:27,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:12:27,147,Outer DuSable Lake Shore Express,,Sun
17:56:57,147,Outer DuSable Lake Shore Express,,Sat
21:51:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:33:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
05:10:38,147,Outer DuSable Lake Shore Express,,Sat
13:01:27,147,Outer DuSable Lake Shore Express,,Sat
04:52:26,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:33:18,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:19:27,147,Outer DuSable Lake Shore Express,,Sun
10:17:57,147,Outer DuSable Lake Shore Express,,Sat
23:37:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:08:40,147,Outer DuSable Lake Shore Express,,Sat
18:36:40,147,Outer DuSable Lake Shore Express,,Sat
21:37:23,147,Outer DuSable Lake Shore Express,,Sat
21:02:53,147,Outer DuSable Lake Shore Express,,Sat
22:39:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:13:15,147,Outer DuSable Lake Shore Express,,Sat
14:20:15,147,Outer DuSable Lake Shore Express,,Sat
05:40:26,147,Outer DuSable Lake Shore Express,,Sat
17:56:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:08:40,147,Outer DuSable Lake Shore Express,,Sat
20:57:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:17:43,147,Outer DuSable Lake Shore Express,,Sat
15:28:32,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
05:19:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:48:15,147,Outer DuSable Lake Shore Express,,Sat
19:36:27,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:45:23,147,Outer DuSable Lake Shore Express,,Sun
24:16:30,147,Outer DuSable Lake Shore Express,,Sat
20:53:53,147,Outer DuSable Lake Shore Express,,Sat
15:46:27,147,Outer DuSable Lake Shore Express,,Sun
13:31:23,147,Outer DuSable Lake Shore Express,,Sun
15:02:27,147,Outer DuSable Lake Shore Express,,Sun
17:21:15,147,Outer DuSable Lake Shore Express,,Sat
22:57:35,147,Outer DuSable Lake Shore Express,,Sun
05:10:38,147,Outer DuSable Lake Shore Express,,Sat
12:23:10,147,Outer DuSable Lake Shore Express,,Sun
08:06:48,147,Outer DuSable Lake Shore Express,,Sun
18:45:10,147,Outer DuSable Lake Shore Express,,Sat
19:02:27,147,Outer DuSable Lake Shore Express,,Sun
11:41:27,147,Outer DuSable Lake Shore Express,,Sat
12:34:40,147,Outer DuSable Lake Shore Express,,Sun
17:41:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:17:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:40:15,147,Outer DuSable Lake Shore Express,,Sat
16:56:15,147,Outer DuSable Lake Shore Express,,Sat
12:23:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:49:53,147,Outer DuSable Lake Shore Express,,Sat
23:56:30,147,Outer DuSable Lake Shore Express,,Sat
08:46:48,147,Outer DuSable Lake Shore Express,,Sun
24:17:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:02:40,147,Outer DuSable Lake Shore Express,,Sat
12:57:40,147,Outer DuSable Lake Shore Express,,Sun
16:03:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:41:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
16:22:45,147,Outer DuSable Lake Shore Express,,Sat
07:10:30,147,Outer DuSable Lake Shore Express,,Sat
08:41:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:24:27,147,Outer DuSable Lake Shore Express,,Sun
20:28:23,147,Outer DuSable Lake Shore Express,,Sat
18:48:07,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:45:57,147,Outer DuSable Lake Shore Express,,Sat
21:15:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:13:27,147,Outer DuSable Lake Shore Express,,Sun
06:26:56,147,Outer DuSable Lake Shore Express,,Sat
20:50:23,147,Outer DuSable Lake Shore Express,,Sun
20:36:53,147,Outer DuSable Lake Shore Express,,Sat
08:52:18,147,Outer DuSable Lake Shore Express,,Sat
14:04:23,147,Outer DuSable Lake Shore Express,,Sun
16:56:15,147,Outer DuSable Lake Shore Express,,Sat
16:08:27,147,Outer DuSable Lake Shore Express,,Sun
15:35:27,147,Outer DuSable Lake Shore Express,,Sun
11:35:27,147,Outer DuSable Lake Shore Express,,Sun
21:46:53,147,Outer DuSable Lake Shore Express,,Sat
16:19:27,147,Outer DuSable Lake Shore Express,,Sun
09:45:57,147,Outer DuSable Lake Shore Express,,Sat
19:09:57,147,Outer DuSable Lake Shore Express,,Sat
11:33:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:23:45,147,Outer DuSable Lake Shore Express,,Sun
13:19:45,147,Outer DuSable Lake Shore Express,,Sat
17:05:15,147,Outer DuSable Lake Shore Express,,Sat
12:08:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:20:23,147,Outer DuSable Lake Shore Express,,Sat
10:49:57,147,Outer DuSable Lake Shore Express,,Sat
17:21:15,147,Outer DuSable Lake Shore Express,,Sat
11:57:27,147,Outer DuSable Lake Shore Express,,Sat
16:40:27,147,Outer DuSable Lake Shore Express,,Sun
22:06:53,147,Outer DuSable Lake Shore Express,,Sat
22:10:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:04:18,147,Outer DuSable Lake Shore Express,,Sat
13:20:23,147,Outer DuSable Lake Shore Express,,Sun
14:51:27,147,Outer DuSable Lake Shore Express,,Sun
23:03:23,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:46:10,147,Outer DuSable Lake Shore Express,,Sun
14:51:27,147,Outer DuSable Lake Shore Express,,Sun
05:52:13,147,Outer DuSable Lake Shore Express,,Sun
17:13:15,147,Outer DuSable Lake Shore Express,,Sat
11:52:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:26:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:00:13,147,Outer DuSable Lake Shore Express,,Sun
14:20:15,147,Outer DuSable Lake Shore Express,,Sat
17:48:37,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:35:27,147,Outer DuSable Lake Shore Express,,Sun
20:21:53,147,Outer DuSable Lake Shore Express,,Sun
05:06:13,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:08:23,147,Outer DuSable Lake Shore Express,,Sun
12:54:57,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
23:20:00,147,Outer DuSable Lake Shore Express,,Sat
06:05:56,147,Outer DuSable Lake Shore Express,,Sat
05:53:56,147,Outer DuSable Lake Shore Express,,Sat
11:33:40,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:56:53,147,Outer DuSable Lake Shore Express,,Sat
12:11:40,147,Outer DuSable Lake Shore Express,,Sun
18:58:20,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:29:27,147,Outer DuSable Lake Shore Express,,Sat
