arrival_time,route_short_name,route_long_name,headsign,service_days
10:28:08,72,North,,Sun
18:08:38,72,North,,Sun
08:22:13,72,North,,Mon,Tue,Wed,Thu,Fri
17:19:38,72,North,,Sun
16:26:51,72,North,,Mon,Tue,Wed,Thu,Fri
16:57:51,72,North,,Mon,Tue,Wed,Thu,Fri
19:27:13,72,North,,Mon,Tue,Wed,Thu,Fri
12:14:38,72,North,,Sun
15:24:38,72,North,,Sun
22:53:34,72,North,,Sat
07:22:21,72,North,,Sat
17:28:38,72,North,,Sun
07:35:43,72,North,,Mon,Tue,Wed,Thu,Fri
13:18:43,72,North,,Sat
20:38:38,72,North,,Sat
10:14:43,72,North,,Sat
22:14:34,72,North,,Mon,Tue,Wed,Thu,Fri
20:29:34,72,North,,Sun
09:48:13,72,North,,Sat
13:00:08,72,North,,Sun
18:25:47,72,North,,Mon,Tue,Wed,Thu,Fri
12:40:08,72,North,,Sun
07:45:04,72,North,,Sun
08:06:13,72,North,,Mon,Tue,Wed,Thu,Fri
17:52:38,72,North,,Sun
08:13:43,72,North,,Mon,Tue,Wed,Thu,Fri
21:24:34,72,North,,Sat
13:58:43,72,North,,Sat
20:36:08,72,North,,Sat
22:45:34,72,North,,Sun
13:51:13,72,North,,Sat
20:47:21,72,North,,Sat
17:07:21,72,North,,Mon,Tue,Wed,Thu,Fri
09:03:51,72,North,,Sun
19:30:34,72,North,,Sun
18:44:43,72,North,,Mon,Tue,Wed,Thu,Fri
05:48:00,72,North,,Mon,Tue,Wed,Thu,Fri
21:46:04,72,North,,Sun
13:35:38,72,North,,Sun
15:20:08,72,North,,Sun
01:21:56,72,North,,Tue,Wed,Thu,Fri,Sat
08:51:37,72,North,,Mon,Tue,Wed,Thu,Fri
01:09:56,72,North,,Mon
13:20:08,72,North,,Sun
13:11:13,72,North,,Sat
07:22:21,72,North,,Sat
09:42:38,72,North,,Sun
11:04:43,72,North,,Sat
17:49:51,72,North,,Mon,Tue,Wed,Thu,Fri
20:36:34,72,North,,Sun
17:11:38,72,North,,Sun
08:50:51,72,North,,Sun
23:34:00,72,North,,Mon,Tue,Wed,Thu,Fri
08:29:43,72,North,,Mon,Tue,Wed,Thu,Fri
08:30:08,72,North,,Sat
11:29:38,72,North,,Sun
12:51:17,72,North,,Mon,Tue,Wed,Thu,Fri
11:46:08,72,North,,Sun
15:40:21,72,North,,Mon,Tue,Wed,Thu,Fri
15:30:08,72,North,,Sun
12:33:13,72,North,,Sat
08:33:34,72,North,,Sun
19:20:08,72,North,,Sat
14:30:38,72,North,,Sun
24:11:00,72,North,,Mon,Tue,Wed,Thu,Fri
09:23:43,72,North,,Mon,Tue,Wed,Thu,Fri
16:13:51,72,North,,Mon,Tue,Wed,Thu,Fri
16:52:38,72,North,,Sun
18:37:38,72,North,,Sat
12:59:47,72,North,,Mon,Tue,Wed,Thu,Fri
14:23:17,72,North,,Mon,Tue,Wed,Thu,Fri
10:14:43,72,North,,Sat
16:31:13,72,North,,Sat
16:41:13,72,North,,Sat
13:50:08,72,North,,Sun
06:53:34,72,North,,Mon,Tue,Wed,Thu,Fri
16:26:38,72,North,,Sun
09:26:26,72,North,,Sat
12:34:13,72,North,,Sat
07:58:13,72,North,,Mon,Tue,Wed,Thu,Fri
17:17:21,72,North,,Mon,Tue,Wed,Thu,Fri
17:57:38,72,North,,Sat
05:56:17,72,North,,Sun
17:35:21,72,North,,Mon,Tue,Wed,Thu,Fri
17:03:26,72,North,,Sat
19:09:13,72,North,,Mon,Tue,Wed,Thu,Fri
20:03:08,72,North,,Sat
16:45:13,72,North,,Sat
