arrival_time,route_short_name,route_long_name,headsign,service_days
07:29:59,6,Jackson Park Express,,Sun
10:23:13,6,Jackson Park Express,,Sat
01:06:59,6,Jackson Park Express,,Mon
18:34:55,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
12:03:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:36:26,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
12:07:43,6,Jackson Park Express,,Sat
22:22:21,6,Jackson Park Express,,Sun
18:10:13,6,Jackson Park Express,,Sun
06:03:06,6,Jackson Park Express,,Sat
14:00:13,6,Jackson Park Express,,Sun
16:24:23,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
17:50:02,6,Jackson Park Express,,Sun
13:20:43,6,Jackson Park Express,,Sat
16:24:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:50:13,6,Jackson Park Express,,Sun
10:26:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:55:20,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:55:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
09:21:29,6,Jackson Park Express,,Sat
18:00:26,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
07:21:51,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:37:55,6,Jackson Park Express,,Sat
11:39:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:27:13,6,Jackson Park Express,,Sun
20:33:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
06:43:47,6,Jackson Park Express,,Sat
14:19:55,6,Jackson Park Express,,Sat
18:14:13,6,Jackson Park Express,,Sat
21:23:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:51:32,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:25:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:35:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
16:19:43,6,Jackson Park Express,,Sun
17:47:58,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
20:27:51,6,Jackson Park Express,,Sat
15:15:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:24:26,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
12:54:43,6,Jackson Park Express,,Sat
12:35:43,6,Jackson Park Express,,Sat
21:54:51,6,Jackson Park Express,,Sun
22:09:32,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
07:17:29,6,Jackson Park Express,,Sun
10:51:13,6,Jackson Park Express,,Sun
17:38:13,6,Jackson Park Express,,Sat
13:40:43,6,Jackson Park Express,,Sun
20:25:21,6,Jackson Park Express,,Sun
15:45:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:05:13,6,Jackson Park Express,,Sat
14:10:55,6,Jackson Park Express,,Sat
20:51:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
09:07:48,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
07:58:29,6,Jackson Park Express,,Sat
09:50:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:49:43,6,Jackson Park Express,,Sat
13:52:25,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
22:27:10,6,Jackson Park Express,,Sat
13:07:43,6,Jackson Park Express,,Sat
16:35:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:50:43,6,Jackson Park Express,,Sat
15:13:43,6,Jackson Park Express,,Sat
00:33:17,6,Jackson Park Express,,Sun
18:54:55,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:08:18,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
14:28:55,6,Jackson Park Express,,Sat
14:10:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:57:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
08:45:21,6,Jackson Park Express,,Sat
17:16:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
09:22:48,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
00:35:47,6,Jackson Park Express,,Mon
20:03:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
08:33:29,6,Jackson Park Express,,Sat
08:52:48,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
13:46:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
12:57:43,6,Jackson Park Express,,Sat
21:21:21,6,Jackson Park Express,,Sat
12:45:13,6,Jackson Park Express,,Sat
19:05:55,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
00:47:59,6,Jackson Park Express,,Sun
19:20:43,6,Jackson Park Express,,Sat
21:01:21,6,Jackson Park Express,,Sun
11:12:13,6,Jackson Park Express,,Sat
11:13:43,6,Jackson Park Express,,Sat
08:00:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:16:25,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
16:08:13,6,Jackson Park Express,,Sat
08:30:21,6,Jackson Park Express,,Sat
14:45:43,6,Jackson Park Express,,Sun
17:41:13,6,Jackson Park Express,,Sat
16:09:43,6,Jackson Park Express,,Sun
23:38:29,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
23:32:51,6,Jackson Park Express,,Sat
15:45:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
01:23:47,6,Jackson Park Express,,Mon
16:16:43,6,Jackson Park Express,,Sun
19:12:02,6,Jackson Park Express,,Sun
07:22:02,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
21:51:10,6,Jackson Park Express,,Sat
18:25:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:53:43,6,Jackson Park Express,,Sun
19:16:55,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:51:02,6,Jackson Park Express,,Sun
15:50:13,6,Jackson Park Express,,Sat
23:58:21,6,Jackson Park Express,,Sun
12:27:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
16:36:26,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
11:50:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
08:05:31,28,Stony Island,,Mon,Tue,Wed,Thu,Fri
23:48:40,6,Jackson Park Express,,Sat
08:49:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:04:02,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
05:25:29,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:38:13,6,Jackson Park Express,,Sun
07:34:32,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
11:38:13,6,Jackson Park Express,,Sun
18:19:13,6,Jackson Park Express,,Sat
23:08:21,6,Jackson Park Express,,Sun
09:33:43,6,Jackson Park Express,,Sun
18:00:43,6,Jackson Park Express,,Sun
18:50:32,6,Jackson Park Express,,Sat
06:16:59,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:31:43,6,Jackson Park Express,,Sat
01:38:29,6,Jackson Park Express,,Tue,Wed,Thu,Fri,Sat
24:02:21,6,Jackson Park Express,,Sat
14:41:13,6,Jackson Park Express,,Sat
10:11:43,6,Jackson Park Express,,Sat
00:38:29,6,Jackson Park Express,,Tue,Wed,Thu,Fri,Sat
11:02:51,6,Jackson Park Express,,Sun
12:47:43,6,Jackson Park Express,,Sat
18:05:13,6,Jackson Park Express,,Sat
13:27:43,6,Jackson Park Express,,Sun
09:24:21,6,Jackson Park Express,,Sat
24:19:47,6,Jackson Park Express,,Sun
15:17:13,6,Jackson Park Express,,Sun
13:12:13,6,Jackson Park Express,,Sat
15:55:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
01:23:59,6,Jackson Park Express,,Tue,Wed,Thu,Fri,Sat
15:04:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:19:13,6,Jackson Park Express,,Sun
17:10:02,6,Jackson Park Express,,Sun
22:24:32,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
19:16:13,6,Jackson Park Express,,Sun
09:27:02,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:44:55,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:44:43,6,Jackson Park Express,,Sat
16:29:43,6,Jackson Park Express,,Sun
18:00:13,6,Jackson Park Express,,Sat
14:28:25,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:00:02,6,Jackson Park Express,,Sun
12:48:43,6,Jackson Park Express,,Sun
12:06:32,6,Jackson Park Express,,Sun
11:25:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:38:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
19:54:02,6,Jackson Park Express,,Sun
12:21:13,6,Jackson Park Express,,Sun
19:21:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:15:17,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:21:13,6,Jackson Park Express,,Sun
00:31:59,6,Jackson Park Express,,Mon
15:03:13,6,Jackson Park Express,,Sun
01:22:59,6,Jackson Park Express,,Sun
12:25:43,6,Jackson Park Express,,Sat
22:03:10,6,Jackson Park Express,,Sat
16:20:13,6,Jackson Park Express,,Sat
