arrival_time,route_short_name,route_long_name,headsign,service_days
09:49:27,67,67th/69th/71st,,Sat
11:00:01,6,Jackson Park Express,,Sat
14:44:27,67,67th/69th/71st,,Sat
19:02:37,6,Jackson Park Express,,Sat
08:42:01,6,Jackson Park Express,,Sat
02:23:46,N5,South Shore Night Bus,,Sun
04:11:43,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
11:35:27,67,67th/69th/71st,,Sat
16:15:31,6,Jackson Park Express,,Sat
12:08:21,15,Jeffery Local,,Sat
10:57:26,6,Jackson Park Express,,Sun
16:16:27,67,67th/69th/71st,,Sat
10:45:21,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
23:40:12,15,Jeffery Local,,Sun
10:32:27,67,67th/69th/71st,,Sat
06:59:50,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
11:00:21,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
11:07:27,67,67th/69th/71st,,Sun
20:55:47,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
14:48:57,67,67th/69th/71st,,Sun
07:31:17,15,Jeffery Local,,Sat
09:45:56,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:06:53,6,Jackson Park Express,,Sat
16:27:16,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
20:13:37,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:07:01,6,Jackson Park Express,,Sun
11:21:27,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
23:44:08,67,67th/69th/71st,,Sat
14:24:27,67,67th/69th/71st,,Sun
21:19:27,67,67th/69th/71st,,Sat
09:23:51,15,Jeffery Local,,Sat
08:43:12,15,Jeffery Local,,Sun
10:53:31,6,Jackson Park Express,,Sun
10:40:31,6,Jackson Park Express,,Sat
06:42:37,6,Jackson Park Express,,Sun
23:55:55,6,Jackson Park Express,,Sat
17:16:23,6,Jackson Park Express,,Sat
12:51:51,15,Jeffery Local,,Sat
05:01:13,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
05:44:40,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:31:26,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
16:05:57,67,67th/69th/71st,,Sat
16:12:57,67,67th/69th/71st,,Sun
16:09:56,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
07:51:37,6,Jackson Park Express,,Sun
11:24:57,67,67th/69th/71st,,Sat
16:47:16,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
08:09:38,67,67th/69th/71st,,Sat
15:00:23,6,Jackson Park Express,,Sat
05:07:37,6,Jackson Park Express,,Sun
20:40:57,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
11:06:31,6,Jackson Park Express,,Sun
15:48:57,67,67th/69th/71st,,Sun
23:38:08,67,67th/69th/71st,,Sun
14:00:16,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
06:49:51,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
20:30:37,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
06:39:04,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:49:27,67,67th/69th/71st,,Sun
06:59:35,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
18:46:56,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:39:23,6,Jackson Park Express,,Sat
12:22:01,6,Jackson Park Express,,Sun
08:56:01,6,Jackson Park Express,,Sat
12:37:21,15,Jeffery Local,,Sat
09:38:27,67,67th/69th/71st,,Sun
10:53:27,67,67th/69th/71st,,Sat
23:30:13,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
03:27:29,N5,South Shore Night Bus,,Tue,Wed,Thu,Fri,Sat
09:59:51,15,Jeffery Local,,Sat
20:26:01,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
22:28:08,67,67th/69th/71st,,Sun
17:49:27,67,67th/69th/71st,,Sun
08:12:08,67,67th/69th/71st,,Sun
19:12:47,15,Jeffery Local,,Sat
15:24:57,67,67th/69th/71st,,Sat
15:57:56,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
