arrival_time,route_short_name,route_long_name,headsign,service_days
00:08:00,6,Jackson Park Express,,Sun
18:22:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:59:00,6,Jackson Park Express,,Sat
13:39:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:26:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
19:00:00,6,Jackson Park Express,,Sun
12:05:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
08:19:30,6,Jackson Park Express,,Sat
16:40:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:46:30,6,Jackson Park Express,,Sat
11:46:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
00:12:00,6,Jackson Park Express,,Mon
23:15:30,6,Jackson Park Express,,Sat
19:34:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:32:00,6,Jackson Park Express,,Sun
20:46:00,6,Jackson Park Express,,Sat
24:17:00,6,Jackson Park Express,,Sat
08:06:30,6,Jackson Park Express,,Sat
16:09:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:15:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
12:28:00,6,Jackson Park Express,,Sat
20:53:00,6,Jackson Park Express,,Sat
12:14:30,6,Jackson Park Express,,Sat
18:33:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
00:21:00,6,Jackson Park Express,,Sun
18:50:00,6,Jackson Park Express,,Sat
08:25:00,6,Jackson Park Express,,Sat
20:34:00,6,Jackson Park Express,,Sun
10:42:30,6,Jackson Park Express,,Sat
12:36:00,6,Jackson Park Express,,Sun
10:44:00,6,Jackson Park Express,,Sat
07:28:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:40:00,6,Jackson Park Express,,Sat
13:44:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:36:30,6,Jackson Park Express,,Sat
20:46:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
08:04:30,6,Jackson Park Express,,Sat
15:40:00,6,Jackson Park Express,,Sun
05:50:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:16:00,6,Jackson Park Express,,Sun
17:10:30,6,Jackson Park Express,,Sat
15:40:00,6,Jackson Park Express,,Sun
23:13:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:12:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
23:04:30,6,Jackson Park Express,,Sat
07:21:30,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
23:45:00,6,Jackson Park Express,,Sat
15:12:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
01:00:00,6,Jackson Park Express,,Mon
08:05:00,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
