arrival_time,route_short_name,route_long_name,headsign,service_days
18:46:38,146,Inner Lake Shore/Michigan Express,,Sun
14:57:21,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
21:32:51,146,Inner Lake Shore/Michigan Express,,Sat
19:34:08,146,Inner Lake Shore/Michigan Express,,Sun
18:04:51,146,Inner Lake Shore/Michigan Express,,Sat
09:52:25,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
09:52:25,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:26:51,146,Inner Lake Shore/Michigan Express,,Sun
14:02:25,146,Inner Lake Shore/Michigan Express,,Sun
15:05:32,146,Inner Lake Shore/Michigan Express,,Sun
11:31:38,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
20:11:38,146,Inner Lake Shore/Michigan Express,,Sun
15:26:08,146,Inner Lake Shore/Michigan Express,,Sat
22:10:51,146,Inner Lake Shore/Michigan Express,,Sun
14:14:08,146,Inner Lake Shore/Michigan Express,,Sat
09:33:12,146,Inner Lake Shore/Michigan Express,,Sun
23:17:08,146,Inner Lake Shore/Michigan Express,,Sun
13:12:08,146,Inner Lake Shore/Michigan Express,,Sat
16:00:21,146,Inner Lake Shore/Michigan Express,,Sat
18:12:51,146,Inner Lake Shore/Michigan Express,,Sat
15:39:35,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:10:51,146,Inner Lake Shore/Michigan Express,,Sun
15:44:21,146,Inner Lake Shore/Michigan Express,,Sat
24:02:55,146,Inner Lake Shore/Michigan Express,,Sat
14:26:30,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
10:04:02,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
19:51:21,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
21:47:51,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
17:36:51,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
13:49:38,146,Inner Lake Shore/Michigan Express,,Sat
11:31:38,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
14:36:21,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
10:56:38,146,Inner Lake Shore/Michigan Express,,Sun
10:33:55,146,Inner Lake Shore/Michigan Express,,Sun
18:44:14,146,Inner Lake Shore/Michigan Express,,Sat
08:54:12,146,Inner Lake Shore/Michigan Express,,Sun
12:12:25,146,Inner Lake Shore/Michigan Express,,Sun
17:51:08,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
13:05:44,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
12:43:25,146,Inner Lake Shore/Michigan Express,,Sun
19:35:00,146,Inner Lake Shore/Michigan Express,,Sat
16:53:32,136,Sheridan/LaSalle Express,,Mon,Tue,Wed,Thu,Fri
17:16:08,146,Inner Lake Shore/Michigan Express,,Sat
11:00:16,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
19:26:08,146,Inner Lake Shore/Michigan Express,,Sun
07:49:12,146,Inner Lake Shore/Michigan Express,,Sun
19:01:51,146,Inner Lake Shore/Michigan Express,,Sun
19:18:51,146,Inner Lake Shore/Michigan Express,,Sun
17:57:51,146,Inner Lake Shore/Michigan Express,,Sun
21:20:51,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
