arrival_time,route_short_name,route_long_name,headsign,service_days
06:12:18,147,Outer DuSable Lake Shore Express,,Sun
15:48:10,147,Outer DuSable Lake Shore Express,,Sat
21:56:22,147,Outer DuSable Lake Shore Express,,Sat
07:58:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:32:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:51:36,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:19:10,147,Outer DuSable Lake Shore Express,,Sat
19:08:56,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:11:52,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:28:54,147,Outer DuSable Lake Shore Express,,Sat
21:32:08,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
23:56:52,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:01:54,147,Outer DuSable Lake Shore Express,,Sun
05:41:48,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:49:22,147,Outer DuSable Lake Shore Express,,Sat
08:26:20,147,Outer DuSable Lake Shore Express,,Sun
18:31:54,147,Outer DuSable Lake Shore Express,,Sun
16:29:24,147,Outer DuSable Lake Shore Express,,Sun
17:13:10,147,Outer DuSable Lake Shore Express,,Sun
05:31:48,147,Outer DuSable Lake Shore Express,,Sun
10:18:52,147,Outer DuSable Lake Shore Express,,Sun
15:45:54,147,Outer DuSable Lake Shore Express,,Sun
17:02:40,147,Outer DuSable Lake Shore Express,,Sun
17:56:24,147,Outer DuSable Lake Shore Express,,Sat
14:54:26,147,Outer DuSable Lake Shore Express,,Sat
17:13:14,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:29:56,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:01:24,147,Outer DuSable Lake Shore Express,,Sat
18:51:54,147,Outer DuSable Lake Shore Express,,Sun
12:38:24,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:58:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:14:52,147,Outer DuSable Lake Shore Express,,Sun
20:05:54,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:45:26,147,Outer DuSable Lake Shore Express,,Sat
13:59:10,147,Outer DuSable Lake Shore Express,,Sat
20:21:22,147,Outer DuSable Lake Shore Express,,Sun
21:41:52,147,Outer DuSable Lake Shore Express,,Sun
20:39:24,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:02:08,147,Outer DuSable Lake Shore Express,,Sat
23:36:06,147,Outer DuSable Lake Shore Express,,Sun
20:34:52,147,Outer DuSable Lake Shore Express,,Sun
22:16:22,147,Outer DuSable Lake Shore Express,,Sat
14:10:10,147,Outer DuSable Lake Shore Express,,Sat
19:09:24,147,Outer DuSable Lake Shore Express,,Sat
10:31:36,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:31:36,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:51:50,147,Outer DuSable Lake Shore Express,,Sat
18:31:54,147,Outer DuSable Lake Shore Express,,Sun
11:24:54,147,Outer DuSable Lake Shore Express,,Sat
18:28:08,147,Outer DuSable Lake Shore Express,,Sat
09:44:52,147,Outer DuSable Lake Shore Express,,Sun
10:33:24,147,Outer DuSable Lake Shore Express,,Sat
17:23:14,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:40:26,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:56:22,147,Outer DuSable Lake Shore Express,,Sat
13:41:52,147,Outer DuSable Lake Shore Express,,Sun
17:42:24,147,Outer DuSable Lake Shore Express,,Sat
08:26:10,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:44:52,147,Outer DuSable Lake Shore Express,,Sat
22:36:36,147,Outer DuSable Lake Shore Express,,Sun
19:25:08,147,Outer DuSable Lake Shore Express,,Sat
14:36:56,147,Outer DuSable Lake Shore Express,,Sat
19:21:54,147,Outer DuSable Lake Shore Express,,Sun
16:03:12,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:58:52,147,Outer DuSable Lake Shore Express,,Sun
15:51:26,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:30:54,147,Outer DuSable Lake Shore Express,,Sun
19:56:22,147,Outer DuSable Lake Shore Express,,Sat
16:13:40,147,Outer DuSable Lake Shore Express,,Sat
16:39:10,147,Outer DuSable Lake Shore Express,,Sat
20:36:22,147,Outer DuSable Lake Shore Express,,Sat
11:24:54,147,Outer DuSable Lake Shore Express,,Sat
17:28:40,147,Outer DuSable Lake Shore Express,,Sat
20:05:54,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
