arrival_time,route_short_name,route_long_name,headsign,service_days
07:42:39,6,Jackson Park Express,,Sun
19:38:31,15,Jeffery Local,,Sun
14:15:48,67,67th/69th/71st,,Sat
13:31:18,67,67th/69th/71st,,Sat
10:37:09,6,Jackson Park Express,,Sat
01:19:32,6,Jackson Park Express,,Mon
10:05:22,67,67th/69th/71st,,Sat
18:49:09,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
07:57:40,67,67th/69th/71st,,Sun
12:18:40,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
12:22:40,6,Jackson Park Express,,Sat
20:14:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
24:18:56,15,Jeffery Local,,Sat
09:09:44,15,Jeffery Local,,Sat
10:45:48,67,67th/69th/71st,,Sat
22:35:39,6,Jackson Park Express,,Sun
13:22:14,15,Jeffery Local,,Sun
14:08:01,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:25:13,6,Jackson Park Express,,Sun
05:16:38,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
22:34:14,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
21:08:18,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
14:15:13,6,Jackson Park Express,,Sun
07:54:40,67,67th/69th/71st,,Sat
08:06:44,67,67th/69th/71st,,Sat
06:14:32,6,Jackson Park Express,,Sat
19:58:31,15,Jeffery Local,,Sun
18:29:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
22:33:26,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
15:26:14,15,Jeffery Local,,Sat
16:52:18,67,67th/69th/71st,,Sat
08:56:44,67,67th/69th/71st,,Sat
11:25:44,67,67th/69th/71st,,Sat
14:45:31,15,Jeffery Local,,Sun
17:34:24,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:03:06,6,Jackson Park Express,,Sun
13:35:43,6,Jackson Park Express,,Sat
20:50:44,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
10:38:14,67,67th/69th/71st,,Sun
19:19:18,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
16:46:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:05:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
18:05:13,6,Jackson Park Express,,Sun
07:02:08,15,Jeffery Local,,Sun
12:49:18,67,67th/69th/71st,,Sat
16:41:48,67,67th/69th/71st,,Sat
10:41:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:49:18,67,67th/69th/71st,,Sat
18:14:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
24:02:26,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
09:22:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
16:31:18,67,67th/69th/71st,,Sat
16:12:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
24:02:26,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
16:20:48,67,67th/69th/71st,,Sat
19:45:48,67,67th/69th/71st,,Sat
19:30:01,15,Jeffery Local,,Sat
16:51:31,15,Jeffery Local,,Sun
09:31:18,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
09:34:09,6,Jackson Park Express,,Sat
07:36:39,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
12:53:44,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
14:53:10,6,Jackson Park Express,,Sat
11:41:56,15,Jeffery Local,,Sun
11:54:40,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
15:27:44,15,Jeffery Local,,Sun
16:11:31,15,Jeffery Local,,Sat
13:42:13,6,Jackson Park Express,,Sun
20:48:39,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
06:55:33,6,Jackson Park Express,,Sat
02:57:09,N5,South Shore Night Bus,,Sun
14:35:10,6,Jackson Park Express,,Sat
18:28:40,6,Jackson Park Express,,Sat
21:38:39,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
11:05:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
10:09:44,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
04:57:09,95,95th,,Sat
10:08:31,15,Jeffery Local,,Sat
12:28:14,67,67th/69th/71st,,Sat
12:53:14,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:40:39,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
17:13:54,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
04:57:09,N5,South Shore Night Bus,,Sun
07:57:40,67,67th/69th/71st,,Sun
15:57:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
18:35:18,67,67th/69th/71st,,Sun
08:53:22,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
15:40:24,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
13:38:01,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
16:33:07,6,Jackson Park Express,,Sun
17:58:54,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
09:23:18,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
19:14:31,15,Jeffery Local,,Sat
10:31:18,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
07:49:56,15,Jeffery Local,,Sat
20:41:06,6,Jackson Park Express,,Sat
15:37:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
13:53:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
17:56:14,67,67th/69th/71st,,Sun
20:19:31,15,Jeffery Local,,Sun
01:00:26,15,Jeffery Local,,Sun
13:09:43,6,Jackson Park Express,,Sat
17:27:01,15,Jeffery Local,,Sat
12:50:43,6,Jackson Park Express,,Sat
22:08:09,6,Jackson Park Express,,Sun
22:22:06,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
16:59:22,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
11:52:14,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
03:57:09,95,95th,,Mon,Tue,Wed,Thu,Fri
24:00:14,67,67th/69th/71st,,Sun
07:29:35,6,Jackson Park Express,,Sun
09:33:22,67,67th/69th/71st,,Sat
11:05:09,6,Jackson Park Express,,Sun
21:52:44,15,Jeffery Local,,Sat
23:21:26,15,Jeffery Local,,Sat
13:38:01,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:42:22,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
22:09:44,15,Jeffery Local,,Sat
17:52:40,6,Jackson Park Express,,Sat
07:02:14,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
13:54:39,6,Jackson Park Express,,Sun
20:38:39,6,Jackson Park Express,,Sun
15:08:48,67,67th/69th/71st,,Sun
16:51:31,15,Jeffery Local,,Sun
16:07:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
14:56:44,67,67th/69th/71st,,Sun
14:20:13,6,Jackson Park Express,,Sat
14:26:10,6,Jackson Park Express,,Sat
21:05:07,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
21:15:48,67,67th/69th/71st,,Sun
08:10:35,6,Jackson Park Express,,Sat
18:43:31,15,Jeffery Local,,Sat
10:05:36,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
11:08:01,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
18:17:52,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
20:50:44,15,Jeffery Local,,Mon,Tue,Wed,Thu,Fri
23:02:18,67,67th/69th/71st,,Sun
11:04:40,6,Jackson Park Express,,Sat
14:08:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
22:39:34,6,Jackson Park Express,,Sat
13:14:44,15,Jeffery Local,,Sat
19:09:48,67,67th/69th/71st,,Sat
10:38:14,67,67th/69th/71st,,Sun
04:27:09,95,95th,,Mon,Tue,Wed,Thu,Fri
13:22:40,6,Jackson Park Express,,Sat
15:06:44,15,Jeffery Local,,Sun
16:52:11,6,Jackson Park Express,,Mon,Tue,Wed,Thu,Fri
19:21:44,67,67th/69th/71st,,Sat
09:02:48,67,67th/69th/71st,,Mon,Tue,Wed,Thu,Fri
15:05:43,6,Jackson Park Express,,Sat
