arrival_time,route_short_name,route_long_name,headsign,service_days
08:28:00,,Green Line,,Sun
13:24:00,,Green Line,,Sun
11:04:00,,Green Line,,Sun
16:24:00,,Green Line,,Sun
21:52:00,,Green Line,,Sun
06:04:00,,Green Line,,Sun
18:44:00,,Green Line,,Sun
24:40:00,,Green Line,,Sun
13:44:00,,Green Line,,Sun
19:04:00,,Green Line,,Sun
16:44:00,,Green Line,,Sun
08:52:00,,Green Line,,Sun
11:24:00,,Green Line,,Sun
06:28:00,,Green Line,,Sun
14:04:00,,Green Line,,Sun
19:24:00,,Green Line,,Sun
09:16:00,,Green Line,,Sun
11:44:00,,Green Line,,Sun
06:52:00,,Green Line,,Sun
14:24:00,,Green Line,,Sun
19:44:00,,Green Line,,Sun
01:04:00,,Green Line,,Mon
12:04:00,,Green Line,,Sun
17:04:00,,Green Line,,Sun
22:16:00,,Green Line,,Sun
23:04:00,,Green Line,,Sun
01:34:00,,Green Line,,Mon
17:24:00,,Green Line,,Sun
22:40:00,,Green Line,,Sun
14:44:00,,Green Line,,Sun
09:40:00,,Green Line,,Sun
20:04:00,,Green Line,,Sun
07:16:00,,Green Line,,Sun
12:24:00,,Green Line,,Sun
17:44:00,,Green Line,,Sun
15:04:00,,Green Line,,Sun
20:24:00,,Green Line,,Sun
20:44:00,,Green Line,,Sun
15:24:00,,Green Line,,Sun
23:28:00,,Green Line,,Sun
02:04:00,,Green Line,,Mon
07:40:00,,Green Line,,Sun
12:44:00,,Green Line,,Sun
10:04:00,,Green Line,,Sun
18:04:00,,Green Line,,Sun
10:24:00,,Green Line,,Sun
15:44:00,,Green Line,,Sun
23:52:00,,Green Line,,Sun
21:04:00,,Green Line,,Sun
08:04:00,,Green Line,,Sun
13:04:00,,Green Line,,Sun
18:24:00,,Green Line,,Sun
10:44:00,,Green Line,,Sun
16:04:00,,Green Line,,Sun
24:16:00,,Green Line,,Sun
11:24:00,,Green Line,,Sat
15:44:00,,Green Line,,Sat
07:16:00,,Green Line,,Sat
21:28:00,,Green Line,,Sun
11:44:00,,Green Line,,Sat
16:24:00,,Green Line,,Sat
07:40:00,,Green Line,,Sat
12:24:00,,Green Line,,Sat
14:44:00,,Green Line,,Sat
23:28:00,,Green Line,,Sat
02:04:00,,Green Line,,Sun
08:04:00,,Green Line,,Sat
12:44:00,,Green Line,,Sat
19:04:00,,Green Line,,Sat
24:16:00,,Green Line,,Sat
22:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
16:40:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:48:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
22:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
05:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
11:45:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
13:45:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
09:01:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
09:35:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
23:52:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
06:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
07:19:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
16:57:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
08:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
14:45:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
07:02:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:31:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
09:52:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
18:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
18:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
19:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
20:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
20:24:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
23:04:00,,Green Line,,Sat
14:24:00,,Green Line,,Sat
20:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
21:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
23:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
22:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
18:44:00,,Green Line,,Sat
24:16:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
01:04:00,,Green Line,,Tue,Wed,Thu,Fri,Sat
23:28:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
02:04:00,,Green Line,,Tue,Wed,Thu,Fri,Sat
24:40:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
01:34:00,,Green Line,,Tue,Wed,Thu,Fri,Sat
01:34:00,,Green Line,,Sun
10:04:00,,Green Line,,Sat
06:04:00,,Green Line,,Sat
06:52:00,,Green Line,,Sat
16:44:00,,Green Line,,Sat
20:44:00,,Green Line,,Sat
14:04:00,,Green Line,,Sat
10:24:00,,Green Line,,Sat
16:04:00,,Green Line,,Sat
18:04:00,,Green Line,,Sat
21:04:00,,Green Line,,Sat
06:28:00,,Green Line,,Sat
22:04:00,,Green Line,,Sat
15:24:00,,Green Line,,Sat
20:04:00,,Green Line,,Sat
15:04:00,,Green Line,,Sat
08:28:00,,Green Line,,Sat
13:24:00,,Green Line,,Sat
11:04:00,,Green Line,,Sat
23:52:00,,Green Line,,Sat
05:34:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
13:04:00,,Green Line,,Sat
12:04:00,,Green Line,,Sat
06:44:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
08:10:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
09:40:00,,Green Line,,Sat
21:44:00,,Green Line,,Sat
06:04:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
08:27:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
07:36:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
08:52:00,,Green Line,,Sat
22:24:00,,Green Line,,Sat
07:53:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
11:25:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
17:44:00,,Green Line,,Sat
19:44:00,,Green Line,,Sat
17:24:00,,Green Line,,Sat
09:18:00,,Green Line,,Mon,Tue,Wed,Thu,Fri
