arrival_time,route_short_name,route_long_name,headsign,service_days
06:09:49,147,Outer DuSable Lake Shore Express,,Sun
15:44:44,147,Outer DuSable Lake Shore Express,,Sat
21:53:20,147,Outer DuSable Lake Shore Express,,Sat
07:54:44,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
06:30:05,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:48:43,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
13:15:44,147,Outer DuSable Lake Shore Express,,Sat
19:05:21,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
11:08:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
12:25:36,147,Outer DuSable Lake Shore Express,,Sat
21:28:58,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
23:53:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:58:36,147,Outer DuSable Lake Shore Express,,Sun
05:39:19,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:46:20,147,Outer DuSable Lake Shore Express,,Sat
08:23:35,147,Outer DuSable Lake Shore Express,,Sun
18:28:36,147,Outer DuSable Lake Shore Express,,Sun
16:26:06,147,Outer DuSable Lake Shore Express,,Sun
17:09:44,147,Outer DuSable Lake Shore Express,,Sun
05:29:19,147,Outer DuSable Lake Shore Express,,Sun
10:15:50,147,Outer DuSable Lake Shore Express,,Sun
15:42:36,147,Outer DuSable Lake Shore Express,,Sun
16:59:14,147,Outer DuSable Lake Shore Express,,Sun
17:53:06,147,Outer DuSable Lake Shore Express,,Sat
14:50:51,147,Outer DuSable Lake Shore Express,,Sat
17:09:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:26:21,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
09:58:06,147,Outer DuSable Lake Shore Express,,Sat
18:48:36,147,Outer DuSable Lake Shore Express,,Sun
12:35:06,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
07:54:44,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:11:50,147,Outer DuSable Lake Shore Express,,Sun
20:02:36,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:41:51,147,Outer DuSable Lake Shore Express,,Sat
13:55:44,147,Outer DuSable Lake Shore Express,,Sat
20:18:20,147,Outer DuSable Lake Shore Express,,Sun
21:38:50,147,Outer DuSable Lake Shore Express,,Sun
20:36:06,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
17:58:58,147,Outer DuSable Lake Shore Express,,Sat
23:33:13,147,Outer DuSable Lake Shore Express,,Sun
20:31:50,147,Outer DuSable Lake Shore Express,,Sun
22:13:20,147,Outer DuSable Lake Shore Express,,Sat
14:06:44,147,Outer DuSable Lake Shore Express,,Sat
19:06:06,147,Outer DuSable Lake Shore Express,,Sat
10:28:43,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
10:28:43,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
08:49:05,147,Outer DuSable Lake Shore Express,,Sat
18:28:36,147,Outer DuSable Lake Shore Express,,Sun
11:21:36,147,Outer DuSable Lake Shore Express,,Sat
18:24:58,147,Outer DuSable Lake Shore Express,,Sat
09:41:50,147,Outer DuSable Lake Shore Express,,Sun
10:30:06,147,Outer DuSable Lake Shore Express,,Sat
17:19:15,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
15:36:51,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
21:53:20,147,Outer DuSable Lake Shore Express,,Sat
13:38:50,147,Outer DuSable Lake Shore Express,,Sun
17:39:06,147,Outer DuSable Lake Shore Express,,Sat
08:22:44,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
20:41:50,147,Outer DuSable Lake Shore Express,,Sat
22:33:43,147,Outer DuSable Lake Shore Express,,Sun
19:21:58,147,Outer DuSable Lake Shore Express,,Sat
14:33:21,147,Outer DuSable Lake Shore Express,,Sat
19:18:36,147,Outer DuSable Lake Shore Express,,Sun
15:59:29,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:55:50,147,Outer DuSable Lake Shore Express,,Sun
15:47:51,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
19:27:36,147,Outer DuSable Lake Shore Express,,Sun
19:53:20,147,Outer DuSable Lake Shore Express,,Sat
16:10:14,147,Outer DuSable Lake Shore Express,,Sat
16:35:44,147,Outer DuSable Lake Shore Express,,Sat
20:33:20,147,Outer DuSable Lake Shore Express,,Sat
11:21:36,147,Outer DuSable Lake Shore Express,,Sat
17:25:14,147,Outer DuSable Lake Shore Express,,Sat
20:02:36,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
18:11:20,147,Outer DuSable Lake Shore Express,,Sat
06:47:43,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
22:13:20,147,Outer DuSable Lake Shore Express,,Sat
20:08:20,147,Outer DuSable Lake Shore Express,,Sat
20:18:06,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
24:13:50,147,Outer DuSable Lake Shore Express,,Mon,Tue,Wed,Thu,Fri
14:58:36,147,Outer DuSable Lake Shore Express,,Sun
16:27:14,147,Outer DuSable Lake Shore Express,,Sat
11:56:28,147,Outer DuSable Lake Shore Express,,Sun
09:06:13,147,Outer DuSable Lake Shore Express,,Sat
