arrival_time,route_short_name,route_long_name,headsign,service_days
14:07:12,146,Inner Lake Shore/Michigan Express,,Sat
10:30:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
13:57:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
08:00:17,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
08:08:11,146,Inner Lake Shore/Michigan Express,,Sat
10:44:42,146,Inner Lake Shore/Michigan Express,,Sun
12:39:13,146,Inner Lake Shore/Michigan Express,,Sat
17:20:40,146,Inner Lake Shore/Michigan Express,,Sun
12:07:13,146,Inner Lake Shore/Michigan Express,,Sat
17:20:40,146,Inner Lake Shore/Michigan Express,,Sun
14:31:42,146,Inner Lake Shore/Michigan Express,,Sat
07:26:17,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
12:33:14,146,Inner Lake Shore/Michigan Express,,Sun
21:52:38,146,Inner Lake Shore/Michigan Express,,Sun
12:47:13,146,Inner Lake Shore/Michigan Express,,Sat
11:02:13,146,Inner Lake Shore/Michigan Express,,Sat
15:51:11,146,Inner Lake Shore/Michigan Express,,Sun
18:59:41,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
06:59:45,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
19:14:40,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
14:27:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
15:42:11,146,Inner Lake Shore/Michigan Express,,Sun
18:29:42,146,Inner Lake Shore/Michigan Express,,Sat
12:23:13,146,Inner Lake Shore/Michigan Express,,Sat
15:27:12,146,Inner Lake Shore/Michigan Express,,Sat
11:02:13,146,Inner Lake Shore/Michigan Express,,Sat
06:57:10,146,Inner Lake Shore/Michigan Express,,Sat
19:16:39,146,Inner Lake Shore/Michigan Express,,Sun
22:33:37,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
21:27:08,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:12:38,146,Inner Lake Shore/Michigan Express,,Sun
16:16:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
09:31:11,146,Inner Lake Shore/Michigan Express,,Sun
13:03:12,146,Inner Lake Shore/Michigan Express,,Sat
15:52:42,146,Inner Lake Shore/Michigan Express,,Sat
07:45:47,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:15:37,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
14:21:11,146,Inner Lake Shore/Michigan Express,,Sun
11:27:13,146,Inner Lake Shore/Michigan Express,,Sat
09:07:12,146,Inner Lake Shore/Michigan Express,,Sat
14:27:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
16:53:41,146,Inner Lake Shore/Michigan Express,,Sun
15:19:12,146,Inner Lake Shore/Michigan Express,,Sat
06:42:09,146,Inner Lake Shore/Michigan Express,,Sat
11:59:13,146,Inner Lake Shore/Michigan Express,,Sat
14:57:11,146,Inner Lake Shore/Michigan Express,,Sun
10:22:13,146,Inner Lake Shore/Michigan Express,,Sat
06:59:45,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
06:27:09,146,Inner Lake Shore/Michigan Express,,Sat
19:00:44,146,Inner Lake Shore/Michigan Express,,Sat
09:44:42,146,Inner Lake Shore/Michigan Express,,Sat
10:30:13,146,Inner Lake Shore/Michigan Express,,Sat
20:13:39,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
17:33:12,146,Inner Lake Shore/Michigan Express,,Sat
14:38:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
21:27:08,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
17:49:40,146,Inner Lake Shore/Michigan Express,,Sun
09:59:42,146,Inner Lake Shore/Michigan Express,,Sun
15:24:11,146,Inner Lake Shore/Michigan Express,,Sun
13:47:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
06:51:40,146,Inner Lake Shore/Michigan Express,,Sun
21:13:39,146,Inner Lake Shore/Michigan Express,,Sat
08:21:00,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
11:56:42,146,Inner Lake Shore/Michigan Express,,Sun
12:55:13,146,Inner Lake Shore/Michigan Express,,Sat
06:11:40,146,Inner Lake Shore/Michigan Express,,Sun
12:47:12,146,Inner Lake Shore/Michigan Express,,Sat
09:22:43,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
14:39:42,146,Inner Lake Shore/Michigan Express,,Sat
10:15:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
11:56:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
11:47:42,146,Inner Lake Shore/Michigan Express,,Sun
06:31:40,146,Inner Lake Shore/Michigan Express,,Sun
14:12:11,146,Inner Lake Shore/Michigan Express,,Sun
09:52:12,146,Inner Lake Shore/Michigan Express,,Sat
13:27:12,146,Inner Lake Shore/Michigan Express,,Sat
13:27:12,146,Inner Lake Shore/Michigan Express,,Sat
18:29:43,146,Inner Lake Shore/Michigan Express,,Sat
16:18:12,146,Inner Lake Shore/Michigan Express,,Sat
15:35:42,146,Inner Lake Shore/Michigan Express,,Sat
11:56:43,146,Inner Lake Shore/Michigan Express,,Sun
09:52:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
12:06:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
19:16:39,146,Inner Lake Shore/Michigan Express,,Sun
12:15:13,146,Inner Lake Shore/Michigan Express,,Sat
14:59:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
19:29:09,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
20:43:39,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
13:00:11,146,Inner Lake Shore/Michigan Express,,Sun
18:44:10,146,Inner Lake Shore/Michigan Express,,Sun
14:21:11,146,Inner Lake Shore/Michigan Express,,Sun
10:26:42,146,Inner Lake Shore/Michigan Express,,Sun
20:43:39,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
14:17:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
21:33:09,146,Inner Lake Shore/Michigan Express,,Sat
11:56:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
15:24:11,146,Inner Lake Shore/Michigan Express,,Sun
16:51:42,146,Inner Lake Shore/Michigan Express,,Sat
17:52:13,146,Inner Lake Shore/Michigan Express,,Sat
15:06:11,146,Inner Lake Shore/Michigan Express,,Sun
15:15:11,146,Inner Lake Shore/Michigan Express,,Sun
07:50:11,146,Inner Lake Shore/Michigan Express,,Sun
07:50:17,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
10:46:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
08:59:42,146,Inner Lake Shore/Michigan Express,,Sat
18:15:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
16:44:41,146,Inner Lake Shore/Michigan Express,,Sun
08:31:30,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
15:51:11,146,Inner Lake Shore/Michigan Express,,Sun
08:26:41,146,Inner Lake Shore/Michigan Express,,Sat
11:26:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:33:09,146,Inner Lake Shore/Michigan Express,,Sat
07:25:11,146,Inner Lake Shore/Michigan Express,,Sat
10:53:42,146,Inner Lake Shore/Michigan Express,,Sun
08:31:30,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
10:07:12,146,Inner Lake Shore/Michigan Express,,Sat
12:56:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
07:12:11,146,Inner Lake Shore/Michigan Express,,Sat
11:11:42,146,Inner Lake Shore/Michigan Express,,Sun
14:48:42,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
07:26:16,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
10:00:12,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:12:38,146,Inner Lake Shore/Michigan Express,,Sun
10:46:13,146,Inner Lake Shore/Michigan Express,,Sat
18:15:43,146,Inner Lake Shore/Michigan Express,,Mon,Tue,Wed,Thu,Fri
22:51:07,146,Inner Lake Shore/Michigan Express,,Sun
08:17:41,146,Inner Lake Shore/Michigan Express,,Sat
19:17:43,146,Inner Lake Shore/Michigan Express,,Sat
10:35:42,146,Inner Lake Shore/Michigan Express,,Sun
