arrival_time,route_short_name,route_long_name,headsign,service_days
14:13:15,47,47th,,Sun
18:17:23,47,47th,,Mon,Tue,Wed,Thu,Fri
16:42:02,47,47th,,Sun
13:28:53,51,51st,,Mon,Tue,Wed,Thu,Fri
07:16:23,51,51st,,Mon,Tue,Wed,Thu,Fri
01:02:27,47,47th,,Sun
05:11:14,47,47th,,Sun
11:54:53,47,47th,,Mon,Tue,Wed,Thu,Fri
17:24:15,47,47th,,Mon,Tue,Wed,Thu,Fri
12:20:19,51,51st,,Sun
10:48:32,47,47th,,Mon,Tue,Wed,Thu,Fri
06:22:18,47,47th,,Mon,Tue,Wed,Thu,Fri
07:57:49,51,51st,,Sat
18:45:10,47,47th,,Sat
17:39:45,47,47th,,Mon,Tue,Wed,Thu,Fri
16:57:52,51,51st,,Mon,Tue,Wed,Thu,Fri
10:14:48,47,47th,,Sun
09:51:10,47,47th,,Sat
16:45:02,47,47th,,Sat
07:49:22,48,South Damen,,Mon,Tue,Wed,Thu,Fri
19:02:10,47,47th,,Mon,Tue,Wed,Thu,Fri
13:01:54,51,51st,,Sat
15:57:58,47,47th,,Mon,Tue,Wed,Thu,Fri
14:29:06,47,47th,,Sat
11:15:15,47,47th,,Sat
14:30:15,47,47th,,Mon,Tue,Wed,Thu,Fri
20:17:27,47,47th,,Sat
17:49:40,47,47th,,Sun
24:19:35,47,47th,,Mon,Tue,Wed,Thu,Fri
15:37:10,47,47th,,Sun
15:45:40,47,47th,,Sun
12:11:36,47,47th,,Sat
13:43:23,47,47th,,Mon,Tue,Wed,Thu,Fri
20:02:27,47,47th,,Sun
01:00:57,47,47th,,Tue,Wed,Thu,Fri,Sat
13:47:36,47,47th,,Sat
08:47:27,47,47th,,Sun
20:32:35,47,47th,,Sat
13:38:06,47,47th,,Sat
15:15:19,51,51st,,Sun
09:01:40,47,47th,,Mon,Tue,Wed,Thu,Fri
08:41:54,51,51st,,Sun
14:12:36,47,47th,,Sat
18:34:57,47,47th,,Sun
14:59:06,47,47th,,Sat
14:22:54,51,51st,,Sun
16:19:53,51,51st,,Sat
19:50:18,47,47th,,Sat
16:36:36,47,47th,,Mon,Tue,Wed,Thu,Fri
10:27:48,51,51st,,Sat
19:52:20,51,51st,,Sat
14:02:23,47,47th,,Mon,Tue,Wed,Thu,Fri
16:32:02,47,47th,,Sun
21:28:35,47,47th,,Sat
05:44:57,47,47th,,Sat
09:14:40,47,47th,,Sat
19:28:27,47,47th,,Mon,Tue,Wed,Thu,Fri
08:04:58,48,South Damen,,Mon,Tue,Wed,Thu,Fri
12:14:53,47,47th,,Mon,Tue,Wed,Thu,Fri
21:29:27,47,47th,,Mon,Tue,Wed,Thu,Fri
19:40:18,47,47th,,Sat
18:07:53,47,47th,,Mon,Tue,Wed,Thu,Fri
13:28:48,51,51st,,Mon,Tue,Wed,Thu,Fri
10:48:15,47,47th,,Sat
16:55:02,47,47th,,Sat
13:33:15,47,47th,,Sun
17:33:48,51,51st,,Sat
10:03:40,47,47th,,Mon,Tue,Wed,Thu,Fri
14:03:15,47,47th,,Sun
22:05:05,47,47th,,Mon,Tue,Wed,Thu,Fri
18:07:10,47,47th,,Sun
20:35:27,47,47th,,Mon,Tue,Wed,Thu,Fri
11:06:15,47,47th,,Sat
12:04:53,47,47th,,Mon,Tue,Wed,Thu,Fri
09:56:24,51,51st,,Sun
12:49:06,47,47th,,Sat
18:26:23,47,47th,,Mon,Tue,Wed,Thu,Fri
10:24:49,51,51st,,Mon,Tue,Wed,Thu,Fri
12:44:19,51,51st,,Sat
09:11:18,51,51st,,Mon,Tue,Wed,Thu,Fri
18:30:58,48,South Damen,,Mon,Tue,Wed,Thu,Fri
19:31:18,47,47th,,Sat
07:00:18,48,South Damen,,Mon,Tue,Wed,Thu,Fri
18:17:32,47,47th,,Sat
11:52:48,51,51st,,Sat
22:14:05,47,47th,,Sat
17:32:02,47,47th,,Sun
15:50:51,51,51st,,Mon,Tue,Wed,Thu,Fri
20:31:57,47,47th,,Sun
17:14:45,47,47th,,Mon,Tue,Wed,Thu,Fri
20:43:49,51,51st,,Sat
22:25:35,47,47th,,Sun
06:53:05,47,47th,,Sun
07:48:05,47,47th,,Sun
13:36:54,51,51st,,Sat
16:15:52,48,South Damen,,Mon,Tue,Wed,Thu,Fri
