arrival_time,route_short_name,route_long_name,headsign,service_days
17:15:44,79,79th,,Mon,Tue,Wed,Thu,Fri
06:41:58,79,79th,,Sat
12:39:03,79,79th,,Sat
11:29:03,79,79th,,Sat
23:21:56,79,79th,,Mon,Tue,Wed,Thu,Fri
19:35:12,79,79th,,Sun
14:19:22,79,79th,,Mon,Tue,Wed,Thu,Fri
17:22:42,79,79th,,Sat
22:29:26,79,79th,,Mon,Tue,Wed,Thu,Fri
20:11:12,79,79th,,Sat
07:38:12,79,79th,,Sat
04:03:35,79,79th,,Sun
23:43:26,79,79th,,Sun
16:23:12,79,79th,,Sun
00:21:37,79,79th,,Tue,Wed,Thu,Fri,Sat
16:48:33,79,79th,,Sat
19:14:01,79,79th,,Mon,Tue,Wed,Thu,Fri
16:55:09,79,79th,,Sat
18:37:12,79,79th,,Sat
09:30:33,79,79th,,Sat
21:16:20,79,79th,,Sat
01:06:37,79,79th,,Tue,Wed,Thu,Fri,Sat
15:05:55,79,79th,,Mon,Tue,Wed,Thu,Fri
17:01:42,79,79th,,Sun
07:16:50,79,79th,,Sat
19:21:39,79,79th,,Mon,Tue,Wed,Thu,Fri
09:40:33,79,79th,,Sat
19:02:09,79,79th,,Mon,Tue,Wed,Thu,Fri
20:59:18,79,79th,,Mon,Tue,Wed,Thu,Fri
15:15:42,79,79th,,Sun
14:28:31,79,79th,,Sat
23:45:26,79,79th,,Sat
21:35:48,79,79th,,Sat
11:49:01,79,79th,,Sat
13:51:42,79,79th,,Sun
15:45:42,79,79th,,Sun
06:30:20,79,79th,,Mon,Tue,Wed,Thu,Fri
08:35:01,79,79th,,Mon,Tue,Wed,Thu,Fri
19:19:12,79,79th,,Sun
15:18:31,79,79th,,Sat
18:32:09,79,79th,,Sat
13:25:09,79,79th,,Sun
21:00:48,79,79th,,Sat
05:25:35,79,79th,,Mon,Tue,Wed,Thu,Fri
18:02:12,79,79th,,Sat
15:08:09,79,79th,,Sun
08:14:56,79,79th,,Sun
18:02:09,79,79th,,Sat
16:35:47,79,79th,,Mon,Tue,Wed,Thu,Fri
20:18:12,79,79th,,Sat
12:39:01,79,79th,,Sat
24:00:58,79,79th,,Mon,Tue,Wed,Thu,Fri
14:07:39,79,79th,,Sun
16:28:31,79,79th,,Sat
18:55:09,79,79th,,Sun
13:55:25,79,79th,,Mon,Tue,Wed,Thu,Fri
10:36:12,79,79th,,Mon,Tue,Wed,Thu,Fri
11:44:03,79,79th,,Sat
09:45:31,79,79th,,Sat
05:21:35,79,79th,,Sun
15:10:44,79,79th,,Mon,Tue,Wed,Thu,Fri
14:48:33,79,79th,,Sat
20:21:39,79,79th,,Mon,Tue,Wed,Thu,Fri
07:58:39,79,79th,,Sat
21:57:48,79,79th,,Sun
06:30:18,79,79th,,Mon,Tue,Wed,Thu,Fri
18:59:12,79,79th,,Sat
07:07:50,79,79th,,Sat
18:47:09,79,79th,,Sun
21:49:48,79,79th,,Sat
08:29:42,79,79th,,Sat
15:45:47,79,79th,,Mon,Tue,Wed,Thu,Fri
09:00:33,79,79th,,Mon,Tue,Wed,Thu,Fri
17:20:44,79,79th,,Mon,Tue,Wed,Thu,Fri
00:32:37,79,79th,,Tue,Wed,Thu,Fri,Sat
20:04:09,79,79th,,Sat
16:53:42,79,79th,,Sun
17:10:47,79,79th,,Mon,Tue,Wed,Thu,Fri
12:09:03,79,79th,,Sat
18:08:52,79,79th,,Mon,Tue,Wed,Thu,Fri
03:33:35,79,79th,,Mon,Tue,Wed,Thu,Fri
08:39:39,79,79th,,Sat
21:13:48,79,79th,,Sat
19:36:42,79,79th,,Mon,Tue,Wed,Thu,Fri
13:30:25,79,79th,,Mon,Tue,Wed,Thu,Fri
06:18:20,79,79th,,Mon,Tue,Wed,Thu,Fri
08:19:39,79,79th,,Sat
21:17:48,79,79th,,Sun
07:16:48,79,79th,,Sat
00:59:05,79,79th,,Tue,Wed,Thu,Fri,Sat
02:33:35,79,79th,,Sun
14:45:42,79,79th,,Sun
12:39:25,79,79th,,Mon,Tue,Wed,Thu,Fri
05:11:07,79,79th,,Mon,Tue,Wed,Thu,Fri
02:03:37,79,79th,,Mon
16:50:44,79,79th,,Mon,Tue,Wed,Thu,Fri
16:15:42,79,79th,,Sun
11:19:12,79,79th,,Sun
18:32:52,79,79th,,Mon,Tue,Wed,Thu,Fri
11:56:42,79,79th,,Sun
08:41:31,79,79th,,Mon,Tue,Wed,Thu,Fri
20:15:50,79,79th,,Sun
14:50:25,79,79th,,Mon,Tue,Wed,Thu,Fri
04:50:35,79,79th,,Sat
20:05:09,79,79th,,Mon,Tue,Wed,Thu,Fri
12:45:52,79,79th,,Mon,Tue,Wed,Thu,Fri
15:20:44,79,79th,,Mon,Tue,Wed,Thu,Fri
20:07:39,79,79th,,Sat
16:53:39,79,79th,,Sun
20:53:48,79,79th,,Sat
17:27:12,79,79th,,Sat
00:43:37,79,79th,,Tue,Wed,Thu,Fri,Sat
09:12:50,79,79th,,Sun
15:53:12,79,79th,,Sun
14:23:09,79,79th,,Sun
15:31:44,79,79th,,Wed
20:51:48,79,79th,,Mon,Tue,Wed,Thu,Fri
13:49:22,79,79th,,Mon,Tue,Wed,Thu,Fri
18:40:25,79,79th,,Mon,Tue,Wed,Thu,Fri
19:35:09,79,79th,,Sun
23:51:28,79,79th,,Mon,Tue,Wed,Thu,Fri
09:21:48,79,79th,,Sun
23:13:58,79,79th,,Mon,Tue,Wed,Thu,Fri
17:17:42,79,79th,,Sun
09:33:42,79,79th,,Mon,Tue,Wed,Thu,Fri
19:36:09,79,79th,,Sat
06:41:28,79,79th,,Sun
10:42:39,79,79th,,Mon,Tue,Wed,Thu,Fri
07:42:09,79,79th,,Mon,Tue,Wed,Thu,Fri
20:47:48,79,79th,,Sun
12:58:52,79,79th,,Mon,Tue,Wed,Thu,Fri
18:27:09,79,79th,,Sat
01:48:37,79,79th,,Tue,Wed,Thu,Fri,Sat
18:14:42,79,79th,,Sun
16:03:31,79,79th,,Sat
18:07:12,79,79th,,Sat
23:35:58,79,79th,,Sat
17:47:12,79,79th,,Sat
21:59:50,79,79th,,Sun
12:41:42,79,79th,,Sun
10:17:42,79,79th,,Mon,Tue,Wed,Thu,Fri
16:33:31,79,79th,,Sat
16:33:33,79,79th,,Sat
05:11:05,79,79th,,Mon,Tue,Wed,Thu,Fri
18:27:12,79,79th,,Sat
15:38:31,79,79th,,Sat
12:05:12,79,79th,,Sun
12:26:25,79,79th,,Mon,Tue,Wed,Thu,Fri
01:06:35,79,79th,,Tue,Wed,Thu,Fri,Sat
13:16:09,79,79th,,Sun
19:43:48,79,79th,,Sun
22:27:26,79,79th,,Sat
12:13:25,79,79th,,Mon,Tue,Wed,Thu,Fri
10:17:39,79,79th,,Mon,Tue,Wed,Thu,Fri
22:40:26,79,79th,,Sun
16:08:33,79,79th,,Sat
13:08:31,79,79th,,Sat
05:47:48,79,79th,,Mon,Tue,Wed,Thu,Fri
11:54:03,79,79th,,Sat
17:37:09,79,79th,,Sat
20:46:50,79,79th,,Sat
22:59:58,79,79th,,Sat
12:58:33,79,79th,,Sat
07:46:03,79,79th,,Mon,Tue,Wed,Thu,Fri
11:27:52,79,79th,,Mon,Tue,Wed,Thu,Fri
07:32:12,79,79th,,Mon,Tue,Wed,Thu,Fri
17:22:39,79,79th,,Sat
06:02:56,79,79th,,Sat
16:45:39,79,79th,,Sun
07:11:28,79,79th,,Sun
16:38:31,79,79th,,Sat
15:15:47,79,79th,,Mon,Tue,Wed,Thu,Fri
14:55:25,79,79th,,Mon,Tue,Wed,Thu,Fri
13:58:33,79,79th,,Sat
24:18:05,79,79th,,Sat
10:01:50,79,79th,,Sun
11:40:55,79,79th,,Mon,Tue,Wed,Thu,Fri
18:46:52,79,79th,,Mon,Tue,Wed,Thu,Fri
20:06:42,79,79th,,Mon,Tue,Wed,Thu,Fri
11:08:31,79,79th,,Mon,Tue,Wed,Thu,Fri
17:20:47,79,79th,,Mon,Tue,Wed,Thu,Fri
19:50:12,79,79th,,Sat
16:46:12,79,79th,,Sun
15:00:22,79,79th,,Mon,Tue,Wed,Thu,Fri
14:43:33,79,79th,,Sat
00:11:35,79,79th,,Mon
00:30:05,79,79th,,Mon
09:45:33,79,79th,,Sat
18:17:09,79,79th,,Sat
14:32:25,79,79th,,Mon,Tue,Wed,Thu,Fri
06:41:56,79,79th,,Sat
10:20:31,79,79th,,Sat
13:23:31,79,79th,,Sat
07:22:12,79,79th,,Mon,Tue,Wed,Thu,Fri
22:04:20,79,79th,,Sat
11:47:39,79,79th,,Sun
01:19:37,79,79th,,Tue,Wed,Thu,Fri,Sat
08:17:39,79,79th,,Sat
13:58:31,79,79th,,Sat
13:53:33,79,79th,,Sat
00:38:07,79,79th,,Sun
22:29:56,79,79th,,Sun
07:46:12,79,79th,,Sat
07:50:28,79,79th,,Sun
21:46:48,79,79th,,Mon,Tue,Wed,Thu,Fri
09:39:12,79,79th,,Mon,Tue,Wed,Thu,Fri
24:11:05,79,79th,,Mon,Tue,Wed,Thu,Fri
15:23:09,79,79th,,Sun
19:59:50,79,79th,,Sun
08:44:58,79,79th,,Sun
10:23:09,79,79th,,Mon,Tue,Wed,Thu,Fri
01:09:35,79,79th,,Sun
08:14:58,79,79th,,Sun
16:40:44,79,79th,,Mon,Tue,Wed,Thu,Fri
01:45:05,79,79th,,Sun
15:38:09,79,79th,,Sun
12:59:42,79,79th,,Sun
20:44:18,79,79th,,Mon,Tue,Wed,Thu,Fri
14:25:55,79,79th,,Mon,Tue,Wed,Thu,Fri
15:38:12,79,79th,,Sun
11:38:42,79,79th,,Sun
05:06:35,79,79th,,Sat
16:08:31,79,79th,,Sat
11:21:22,79,79th,,Mon,Tue,Wed,Thu,Fri
09:13:12,79,79th,,Mon,Tue,Wed,Thu,Fri
22:46:26,79,79th,,Sat
12:00:22,79,79th,,Mon,Tue,Wed,Thu,Fri
09:07:01,79,79th,,Mon,Tue,Wed,Thu,Fri
06:04:20,79,79th,,Mon,Tue,Wed,Thu,Fri
18:42:09,79,79th,,Sat
06:42:12,79,79th,,Mon,Tue,Wed,Thu,Fri
13:43:31,79,79th,,Sat
19:27:12,79,79th,,Sun
02:33:37,79,79th,,Tue,Wed,Thu,Fri,Sat
14:13:31,79,79th,,Sat
14:58:33,79,79th,,Sat
11:24:03,79,79th,,Sat
09:10:33,79,79th,,Sat
00:55:05,79,79th,,Sun
02:03:37,79,79th,,Sun
23:19:28,79,79th,,Mon,Tue,Wed,Thu,Fri
19:44:12,79,79th,,Mon,Tue,Wed,Thu,Fri
09:41:50,79,79th,,Sun
18:20:55,79,79th,,Mon,Tue,Wed,Thu,Fri
03:33:35,79,79th,,Sat
08:41:33,79,79th,,Mon,Tue,Wed,Thu,Fri
19:51:50,79,79th,,Sun
17:57:42,79,79th,,Sun
00:30:05,79,79th,,Sun
21:06:48,79,79th,,Mon,Tue,Wed,Thu,Fri
21:14:48,79,79th,,Sat
17:08:31,79,79th,,Sat
22:05:20,79,79th,,Sat
17:17:42,79,79th,,Sat
14:01:25,79,79th,,Mon,Tue,Wed,Thu,Fri
17:49:22,79,79th,,Mon,Tue,Wed,Thu,Fri
08:54:33,79,79th,,Sat
10:41:50,79,79th,,Sun
17:47:09,79,79th,,Sat
14:58:31,79,79th,,Sat
09:58:42,79,79th,,Mon,Tue,Wed,Thu,Fri
18:27:22,79,79th,,Mon,Tue,Wed,Thu,Fri
06:41:26,79,79th,,Sun
23:05:58,79,79th,,Mon,Tue,Wed,Thu,Fri
20:57:48,79,79th,,Sun
24:05:37,79,79th,,Sun
16:45:44,79,79th,,Mon,Tue,Wed,Thu,Fri
12:32:39,79,79th,,Sun
12:14:01,79,79th,,Sat
10:00:33,79,79th,,Sat
11:02:01,79,79th,,Mon,Tue,Wed,Thu,Fri
23:16:56,79,79th,,Sat
07:12:09,79,79th,,Mon,Tue,Wed,Thu,Fri
09:26:01,79,79th,,Sat
10:45:03,79,79th,,Sat
12:33:42,79,79th,,Sun
04:28:37,79,79th,,Sun
08:02:58,79,79th,,Sun
22:08:58,79,79th,,Sun
16:03:33,79,79th,,Sat
06:48:12,79,79th,,Mon,Tue,Wed,Thu,Fri
14:33:31,79,79th,,Sat
11:54:01,79,79th,,Sat
13:28:33,79,79th,,Sat
13:13:31,79,79th,,Sat
04:03:37,79,79th,,Sun
09:41:48,79,79th,,Sun
04:03:37,79,79th,,Mon,Tue,Wed,Thu,Fri
22:49:56,79,79th,,Mon,Tue,Wed,Thu,Fri
23:53:58,79,79th,,Sun
10:00:31,79,79th,,Sat
23:31:28,79,79th,,Sat
07:36:03,79,79th,,Mon,Tue,Wed,Thu,Fri
15:08:12,79,79th,,Sun
21:22:50,79,79th,,Mon,Tue,Wed,Thu,Fri
08:22:03,79,79th,,Mon,Tue,Wed,Thu,Fri
12:13:22,79,79th,,Mon,Tue,Wed,Thu,Fri
10:55:39,79,79th,,Mon,Tue,Wed,Thu,Fri
17:32:12,79,79th,,Sat
